age_group,bare_skin_feel_30min,midday_shine,tight_flaky_frequency,pore_visibility,breakout_frequency,breakout_location,new_product_reaction,redness_frequency,post_cleanse_feel,seasonal_change,hormonal_stress_pattern,skin_type
2,2,1,4,3,2,2,2,2,3,5,3,dry
5,4,5,3,4,4,3,1,2,1,1,2,acne_prone
2,3,2,1,1,1,1,1,1,2,2,3,normal
3,3,4,3,4,2,2,1,1,2,4,2,combination
2,3,2,2,2,2,4,1,2,3,1,3,normal
2,4,4,1,3,2,2,1,1,3,3,2,oily
1,5,4,2,5,2,4,2,1,2,1,2,oily
2,4,2,2,2,1,1,2,3,2,5,3,normal
2,3,4,1,5,4,3,1,2,1,3,3,acne_prone
3,4,3,1,3,1,1,1,3,2,5,1,combination
1,4,4,2,3,3,4,2,3,1,5,3,acne_prone
2,2,3,2,1,2,3,3,4,4,4,1,sensitive
4,2,3,1,3,1,1,2,1,3,3,2,combination
2,4,4,1,4,3,2,1,1,3,4,1,acne_prone
3,3,1,3,1,2,3,1,2,1,4,4,dry
3,3,1,2,1,2,2,3,2,2,2,3,normal
4,2,1,2,1,1,1,1,1,1,2,4,dry
3,3,2,1,2,2,4,2,2,2,4,1,normal
5,3,5,1,5,3,3,1,1,3,5,1,oily
2,3,3,1,3,2,2,3,3,2,5,2,normal
5,3,2,2,2,2,4,4,3,4,4,2,sensitive
3,3,1,1,1,2,4,1,1,2,2,1,normal
3,3,2,1,2,1,1,1,2,1,4,2,normal
3,4,4,1,3,2,3,1,1,3,5,2,oily
3,2,1,3,3,1,1,1,1,2,5,3,dry
2,2,1,2,1,3,3,3,3,3,1,2,sensitive
2,2,1,3,1,1,1,2,1,1,4,3,dry
2,5,3,1,5,4,5,1,1,3,4,3,acne_prone
4,3,3,2,3,3,4,2,1,2,1,2,combination
1,2,2,1,3,1,1,1,2,1,4,2,normal
4,2,1,2,1,2,3,1,1,3,1,4,dry
3,1,2,3,1,3,4,3,4,4,4,2,sensitive
1,3,4,2,3,1,1,1,1,2,1,2,combination
2,3,3,3,3,1,1,1,3,2,3,3,combination
2,4,3,2,3,1,1,3,2,2,4,1,combination
2,2,1,3,2,1,1,2,1,3,3,1,dry
2,3,2,2,2,1,1,1,1,2,1,3,normal
2,2,1,2,2,3,4,1,2,1,2,3,dry
4,2,2,3,2,2,3,4,3,4,1,4,sensitive
2,3,2,1,4,3,4,1,2,3,3,1,combination
3,2,2,1,1,1,1,1,1,3,5,2,normal
1,2,1,3,2,2,3,2,1,1,3,1,dry
2,3,2,2,2,1,1,1,1,1,2,2,normal
1,4,2,2,1,1,1,2,1,1,4,2,normal
3,3,3,2,3,1,1,1,2,1,1,4,combination
4,2,4,1,3,2,2,1,3,2,2,1,combination
4,2,2,4,2,1,1,4,3,4,1,4,sensitive
1,3,4,1,3,3,3,1,2,1,5,1,oily
2,3,1,3,2,1,1,1,2,1,2,3,dry
3,2,4,2,4,2,3,2,3,1,3,3,combination
2,3,3,3,4,1,1,1,2,1,1,3,combination
3,3,2,3,3,1,1,2,2,1,2,2,combination
2,4,4,2,3,1,1,2,2,1,4,2,combination
5,5,4,1,5,2,3,2,1,1,4,3,oily
2,4,5,2,3,1,1,2,3,2,4,3,oily
2,4,4,1,4,1,1,1,1,1,1,2,oily
3,2,1,4,2,1,1,2,2,1,3,2,dry
4,1,1,3,1,1,1,2,2,1,3,3,dry
4,2,2,3,3,2,2,1,3,3,3,1,dry
1,3,3,2,4,1,1,2,1,3,4,4,combination
1,3,3,2,2,1,1,1,2,3,2,1,normal
1,3,5,1,5,2,3,2,2,2,1,3,oily
3,5,4,1,5,3,4,1,1,3,4,4,acne_prone
1,2,2,2,1,1,1,1,2,1,4,4,normal
4,5,5,1,4,3,4,1,1,1,4,2,oily
2,3,4,2,2,1,1,1,3,1,1,1,combination
5,3,3,1,3,2,4,2,2,2,4,1,normal
3,2,1,2,1,2,2,3,1,1,1,1,dry
5,4,2,1,3,1,1,1,1,2,4,2,normal
5,3,1,2,2,2,2,2,2,1,3,3,dry
4,4,4,1,4,3,4,2,3,1,5,2,acne_prone
3,3,1,3,1,1,1,3,4,4,2,2,sensitive
5,3,3,3,2,1,1,2,3,1,2,4,combination
2,2,1,3,1,1,1,3,3,3,3,3,sensitive
2,2,2,2,2,1,1,3,4,3,1,1,sensitive
2,3,3,1,2,3,2,3,1,1,3,2,normal
5,3,2,3,3,3,3,4,4,3,5,3,sensitive
1,5,4,1,5,2,2,1,1,2,1,2,oily
2,3,2,3,2,3,2,3,4,4,1,1,sensitive
2,2,3,3,3,3,3,3,3,3,1,1,sensitive
2,4,3,1,2,2,3,3,2,1,3,1,normal
3,3,1,2,1,2,4,2,1,3,2,2,dry
1,3,2,1,1,2,2,3,1,1,5,2,normal
2,3,4,2,4,1,1,3,2,3,4,2,oily
1,1,3,2,3,2,2,3,3,3,3,1,sensitive
1,3,2,3,3,1,1,4,3,4,4,4,sensitive
3,1,1,2,1,3,3,2,1,2,2,1,dry
2,5,4,2,5,1,1,2,2,1,3,2,oily
2,4,3,1,4,2,4,2,2,1,1,3,oily
2,3,1,2,2,3,4,3,3,2,5,2,normal
1,2,1,2,2,2,3,3,1,2,4,2,dry
4,3,2,1,1,2,4,2,3,1,1,3,normal
5,4,5,2,4,4,2,1,3,1,1,1,acne_prone
2,3,2,1,3,1,1,2,2,3,3,3,normal
3,5,4,2,4,2,3,3,1,3,2,3,oily
2,2,3,3,3,1,1,2,2,2,1,3,combination
3,2,2,1,2,1,1,1,1,1,4,2,normal
3,3,3,3,5,3,5,1,1,1,2,2,acne_prone
2,3,4,3,5,3,5,1,1,1,1,1,acne_prone
1,3,2,2,1,2,3,2,2,2,4,3,normal
2,5,5,2,4,2,2,3,2,1,2,1,oily
3,2,2,1,1,2,3,2,2,3,2,2,normal
2,4,1,2,3,1,1,2,3,2,2,3,normal
2,3,1,4,1,2,3,2,3,3,2,1,dry
2,4,3,1,2,2,2,1,1,2,4,4,combination
1,4,4,2,4,1,1,2,2,1,1,1,oily
3,1,2,3,3,2,3,1,2,2,2,2,dry
5,2,2,2,1,2,3,1,3,1,3,3,normal
4,5,4,1,5,3,5,3,2,3,3,2,acne_prone
2,3,2,1,2,3,3,2,1,2,1,2,normal
5,1,1,4,2,1,1,1,1,1,1,3,dry
2,5,4,1,5,2,4,2,2,3,1,1,oily
2,3,5,2,5,4,3,1,2,2,1,1,acne_prone
3,3,2,1,2,1,1,2,2,3,1,3,normal
3,2,4,2,3,2,4,3,3,1,4,2,combination
1,3,3,3,3,1,1,1,1,1,2,1,combination
3,3,1,1,3,2,3,1,1,2,5,2,normal
4,3,2,3,3,1,1,2,1,2,4,4,combination
3,4,2,1,2,2,4,1,1,1,4,3,normal
5,4,4,2,4,2,2,3,2,1,1,2,combination
4,4,3,3,3,2,2,1,2,3,5,1,combination
2,5,5,1,4,1,1,2,2,1,1,1,oily
5,3,1,3,2,2,2,1,1,1,2,2,dry
4,2,2,3,2,1,1,3,4,3,2,3,sensitive
4,3,3,1,2,1,1,1,2,2,5,2,normal
4,3,2,2,3,3,2,2,2,3,2,1,normal
3,1,1,4,1,1,1,1,3,2,3,1,dry
4,2,3,2,3,2,3,3,2,1,5,1,combination
2,4,2,2,3,1,1,3,1,1,5,2,combination
4,1,1,3,2,2,2,3,1,1,5,3,dry
4,4,4,2,5,3,3,1,2,2,3,2,oily
4,2,2,1,1,2,3,1,2,1,1,1,normal
3,4,3,1,4,1,1,1,1,1,1,1,combination
2,3,1,2,1,1,1,1,2,1,1,3,dry
4,3,4,2,3,1,1,2,2,1,3,3,combination
2,5,4,2,3,2,2,3,2,3,3,2,oily
2,4,3,3,5,4,2,3,2,2,4,1,acne_prone
4,2,2,3,2,2,4,3,1,2,4,1,dry
1,3,2,1,3,1,1,3,2,1,1,1,normal
2,2,1,2,1,3,2,2,2,1,3,3,dry
3,5,4,3,5,3,3,3,1,2,4,2,acne_prone
4,3,2,3,2,1,1,3,3,3,4,2,sensitive
3,2,2,1,3,1,1,1,2,2,3,2,normal
2,2,4,1,3,2,3,1,1,2,5,1,combination
1,2,2,2,3,1,1,4,4,3,5,2,sensitive
1,4,4,1,5,1,1,3,1,2,1,2,oily
4,4,5,1,5,3,2,2,1,3,4,2,oily
3,3,2,1,1,3,4,1,1,1,3,1,normal
1,2,2,3,2,1,1,3,2,3,3,2,dry
2,3,2,3,1,3,4,4,3,3,3,2,sensitive
2,4,5,2,5,3,4,1,2,1,4,2,acne_prone
2,4,3,2,4,2,2,1,2,1,4,1,combination
2,3,1,1,3,1,1,2,2,3,2,3,normal
4,3,1,1,2,1,1,2,2,1,2,3,normal
4,3,4,3,3,1,1,2,3,3,5,4,combination
1,3,2,3,2,3,4,3,3,3,1,1,sensitive
3,1,2,2,1,1,1,3,4,4,2,1,sensitive
3,3,3,2,4,1,1,2,2,1,2,2,combination
2,2,3,1,3,3,4,2,1,1,3,3,combination
2,2,1,3,2,2,2,2,1,2,5,2,dry
2,2,1,3,3,1,1,2,1,1,1,3,dry
3,2,3,2,2,3,3,4,3,4,1,3,sensitive
2,2,3,2,3,2,2,3,1,1,1,3,combination
5,1,1,4,1,2,4,1,2,1,2,2,dry
5,1,2,2,1,1,1,2,2,2,4,2,dry
4,3,3,1,3,2,2,1,2,1,1,2,combination
2,2,1,3,2,2,4,2,2,2,4,1,dry
4,2,2,4,2,2,3,2,2,1,2,2,dry
3,4,4,1,4,3,3,3,2,1,1,2,oily
2,3,3,3,3,2,2,1,3,2,1,2,combination
4,3,3,2,4,1,1,2,2,2,4,3,combination
4,2,2,1,1,1,1,3,2,2,2,3,normal
2,2,3,2,3,2,3,3,1,2,3,4,combination
2,3,3,2,3,1,1,1,1,1,4,3,normal
4,3,1,1,2,1,1,1,3,2,4,1,normal
4,3,3,2,4,2,2,1,2,2,2,3,combination
2,2,3,3,4,1,1,2,1,3,4,2,combination
4,2,3,3,3,2,4,4,3,4,5,2,sensitive
1,3,4,1,3,2,4,2,1,2,2,3,combination
4,2,2,2,3,2,3,2,3,2,2,2,combination
2,2,1,4,2,2,4,1,1,1,1,2,dry
4,4,2,1,3,3,4,2,1,3,3,1,normal
2,3,2,1,3,2,3,1,1,3,1,3,normal
4,3,2,2,2,1,1,2,1,3,4,2,normal
3,5,3,1,3,3,2,2,1,1,2,1,acne_prone
2,5,3,1,5,1,1,1,3,1,2,3,oily
3,2,1,3,2,1,1,3,3,3,1,2,sensitive
5,3,3,1,3,1,1,1,2,3,1,3,combination
2,2,3,4,3,1,1,3,3,4,4,2,sensitive
4,4,5,1,4,2,2,2,3,3,1,1,oily
3,3,3,2,3,2,2,2,1,1,4,1,combination
4,4,4,2,4,2,4,2,1,1,3,4,oily
4,3,2,1,2,3,4,1,1,3,4,1,normal
4,4,3,2,2,2,4,1,1,1,3,1,combination
2,3,2,2,2,2,2,2,2,2,1,3,normal
5,1,2,3,2,2,4,2,1,2,4,2,dry
3,2,2,2,3,2,2,2,2,1,4,3,combination
1,2,1,2,1,2,3,1,2,2,1,1,dry
3,4,5,1,3,3,5,2,2,1,3,1,acne_prone
2,4,3,2,4,4,2,1,2,2,4,3,acne_prone
2,4,5,1,5,4,4,3,1,1,3,3,acne_prone
1,4,2,2,3,2,3,1,1,1,4,1,normal
2,1,2,2,1,1,1,3,2,1,3,4,dry
4,5,3,1,3,4,3,1,3,3,4,2,acne_prone
3,4,3,1,4,1,1,3,1,2,1,1,oily
3,5,3,2,4,3,3,1,1,1,4,2,acne_prone
1,5,4,2,4,3,5,1,1,2,2,2,acne_prone
2,1,3,2,1,2,2,4,4,4,4,1,sensitive
2,3,2,2,3,3,2,1,2,1,2,1,normal
1,5,4,1,4,1,1,2,1,3,1,1,oily
4,3,1,2,2,1,1,4,3,4,3,1,sensitive
2,4,3,1,2,1,1,3,1,3,1,2,normal
3,3,1,2,2,2,2,3,2,1,4,1,dry
3,5,5,1,4,2,3,3,2,2,1,3,oily
5,4,5,2,4,3,2,1,2,1,4,2,acne_prone
2,4,3,1,3,2,2,1,2,1,4,4,combination
3,3,3,2,3,2,2,1,1,3,5,1,combination
5,1,1,4,2,1,1,1,2,1,2,2,dry
2,2,3,1,4,3,2,2,1,2,3,4,combination
2,5,4,3,3,4,4,2,1,3,2,2,acne_prone
2,1,1,3,1,1,1,1,2,3,1,3,dry
2,5,3,1,4,1,1,1,2,3,1,1,oily
4,3,2,2,1,2,3,4,4,4,1,3,sensitive
2,2,3,2,4,2,4,2,2,2,4,2,combination
4,4,3,1,4,3,3,1,3,1,2,3,combination
4,4,3,2,3,2,2,2,2,2,4,2,combination
4,3,2,1,1,2,3,1,2,1,5,2,normal
2,3,1,1,2,3,4,3,2,3,2,1,normal
3,2,1,2,3,1,1,3,3,3,2,3,sensitive
3,2,3,3,2,2,3,3,3,4,5,2,sensitive
2,1,1,3,2,1,1,3,3,3,4,3,sensitive
4,4,4,1,4,3,5,1,1,3,2,3,acne_prone
1,3,4,1,3,2,3,1,2,2,2,1,oily
3,4,3,1,3,3,3,2,1,1,2,1,oily
1,2,1,3,2,2,3,3,4,4,5,3,sensitive
3,2,2,2,3,2,3,3,3,1,4,4,combination
4,4,4,2,3,2,3,2,1,2,3,4,combination
2,1,2,2,2,3,4,4,3,3,4,4,sensitive
2,2,2,4,2,1,1,3,4,3,3,2,sensitive
2,2,2,2,3,2,2,2,2,1,2,2,normal
2,3,1,1,1,1,1,3,1,2,2,1,normal
4,2,1,3,1,2,3,2,2,1,4,1,dry
3,3,3,2,4,2,3,1,2,2,1,1,combination
2,2,2,2,1,3,4,2,2,2,4,3,dry
4,5,4,1,3,1,1,3,2,1,4,2,oily
3,5,5,1,5,1,1,2,1,1,2,3,oily
2,4,2,2,3,3,2,2,1,2,3,4,normal
3,3,3,2,4,1,1,2,1,3,5,2,combination
3,1,2,4,2,1,1,1,1,3,3,1,dry
3,2,1,3,2,1,1,2,1,1,2,2,dry
3,2,2,3,1,1,1,3,4,3,2,1,sensitive
1,3,1,1,1,1,1,2,2,2,1,2,normal
2,1,1,3,2,1,1,3,2,2,4,1,dry
2,5,5,1,4,1,1,2,1,3,2,1,oily
4,2,3,2,3,3,2,3,1,2,3,2,combination
4,2,2,1,2,2,4,1,1,2,3,2,normal
4,4,4,1,3,1,1,1,2,1,2,3,combination
3,2,1,3,3,2,4,2,2,1,5,2,dry
4,2,1,3,1,1,1,1,1,1,3,1,dry
2,4,4,1,5,1,1,2,1,1,5,4,oily
2,4,3,2,5,2,3,2,2,1,3,2,oily
2,3,4,3,4,2,3,1,1,3,5,4,combination
2,3,3,1,2,2,4,1,2,1,4,2,combination
1,5,3,3,4,4,2,2,1,1,2,3,acne_prone
3,4,4,2,3,1,1,1,2,3,5,3,oily
5,3,2,1,2,2,3,1,2,1,4,2,normal
4,3,3,2,2,1,1,3,3,3,4,4,sensitive
2,3,2,1,1,3,2,1,1,1,3,3,normal
3,4,4,1,4,1,1,2,2,2,2,1,oily
4,1,1,2,2,1,1,2,1,1,5,2,dry
2,1,1,3,2,1,1,1,1,1,5,2,dry
1,3,4,1,3,4,3,1,1,2,1,1,acne_prone
4,2,3,3,3,1,1,4,4,4,3,1,sensitive
2,4,3,2,3,2,3,2,1,1,2,3,combination
3,4,3,1,4,1,1,3,1,1,1,1,oily
2,3,1,3,2,2,2,1,2,1,1,3,dry
1,1,2,3,1,1,1,3,2,2,2,4,dry
1,3,2,2,2,2,2,3,1,2,1,1,normal
2,3,3,2,4,2,4,2,1,1,4,3,oily
2,3,3,1,4,3,4,2,3,3,1,3,combination
3,2,3,3,3,2,3,1,2,3,5,3,combination
4,3,1,1,3,2,2,1,2,1,3,2,normal
1,3,3,1,3,4,2,3,3,1,3,3,acne_prone
5,3,2,2,3,2,2,1,2,2,4,1,combination
4,5,4,1,4,1,1,2,2,3,3,3,oily
1,4,3,2,3,3,4,2,1,1,3,3,combination
3,4,4,2,4,2,2,1,1,2,1,1,oily
2,3,2,1,2,1,1,1,1,1,3,1,normal
1,3,2,1,2,2,4,3,3,2,3,2,normal
2,4,3,1,3,3,2,1,1,1,5,1,combination
2,1,1,4,2,2,4,2,2,3,1,1,dry
3,1,1,2,2,2,3,1,1,3,2,1,dry
2,1,1,4,1,1,1,2,2,3,3,1,dry
3,1,2,3,2,1,1,2,3,1,2,1,dry
3,2,1,3,1,2,4,3,3,3,3,2,sensitive
1,2,3,2,4,2,4,1,1,3,2,1,combination
2,4,3,2,3,2,4,1,1,2,1,3,oily
3,1,2,2,3,1,1,3,1,2,1,3,dry
3,3,5,2,4,2,3,1,1,2,3,3,oily
2,4,5,1,4,2,4,2,1,1,5,1,oily
5,1,1,4,2,2,4,1,3,1,2,1,dry
5,4,5,1,4,1,1,1,3,3,3,3,oily
3,5,5,1,5,3,3,1,2,3,4,1,oily
2,2,3,2,3,2,4,2,2,1,3,3,combination
2,2,4,1,3,1,1,2,1,1,5,2,combination
1,1,1,2,2,1,1,3,1,1,1,2,dry
1,3,2,2,1,1,1,1,1,3,2,1,normal
5,3,3,2,3,3,4,3,1,1,4,1,combination
4,5,4,1,5,1,1,2,1,3,1,1,oily
2,2,3,4,3,3,2,4,3,4,5,3,sensitive
2,2,2,2,3,2,3,2,1,2,3,1,combination
3,2,1,3,1,2,3,3,1,2,4,4,dry
3,2,2,3,2,1,1,1,1,1,5,3,dry
4,3,3,2,3,2,3,3,1,1,4,2,combination
1,3,1,3,2,2,4,1,2,2,4,3,dry
1,4,4,1,3,1,1,2,2,2,5,1,combination
3,5,5,2,5,4,3,1,2,1,2,1,acne_prone
4,2,3,2,3,2,2,2,2,3,2,3,combination
5,5,4,1,5,2,4,1,1,1,4,2,oily
2,4,3,1,3,2,3,2,2,1,4,4,combination
3,4,5,1,4,1,1,3,1,2,2,1,oily
2,5,4,1,4,2,2,1,1,1,4,1,oily
2,4,5,1,4,3,2,1,2,1,1,3,acne_prone
2,4,3,1,4,2,3,1,2,3,5,1,oily
4,5,5,3,4,4,2,2,1,2,3,1,acne_prone
2,5,3,2,5,4,4,1,1,3,3,1,acne_prone
4,4,2,1,3,2,4,2,3,2,4,3,normal
2,2,1,4,1,1,1,3,1,2,4,3,dry
2,1,2,3,1,2,2,3,1,1,1,4,dry
2,1,1,4,1,2,2,1,1,1,1,1,dry
3,3,1,4,1,3,2,1,1,3,3,4,dry
2,3,3,2,4,1,1,2,2,1,3,1,combination
2,3,2,2,1,1,1,1,2,2,5,1,dry
5,3,2,2,2,2,2,1,1,3,4,1,normal
3,1,2,3,1,2,3,4,3,3,4,3,sensitive
2,2,1,3,2,1,1,1,3,1,2,3,dry
2,2,2,4,2,3,3,3,4,4,2,3,sensitive
3,2,2,1,3,1,1,3,2,1,4,2,normal
2,2,2,3,2,1,1,2,2,3,4,1,dry
2,3,4,1,4,2,2,1,1,1,3,4,combination
1,2,3,1,2,1,1,1,2,1,4,2,combination
2,1,3,2,2,3,2,4,4,3,1,3,sensitive
2,3,4,3,3,2,3,3,1,2,1,1,combination
2,3,1,3,1,1,1,3,3,3,4,1,sensitive
4,3,2,1,1,1,1,2,2,3,2,4,normal
3,1,1,3,2,2,4,3,3,1,4,1,dry
1,2,2,3,2,1,1,1,1,1,3,2,combination
2,3,1,3,1,1,1,4,3,4,3,2,sensitive
4,3,3,2,4,3,4,2,1,3,3,3,acne_prone
3,5,4,1,5,2,3,1,1,2,1,1,oily
5,4,2,1,3,3,2,3,1,1,4,1,normal
1,4,2,2,2,3,3,1,2,2,2,2,combination
3,4,2,1,2,2,4,2,1,2,5,3,normal
2,5,3,3,4,3,2,3,1,1,1,2,acne_prone
3,1,2,2,1,1,1,4,3,3,4,3,sensitive
2,4,4,1,4,1,1,1,1,2,5,2,oily
3,3,2,2,2,1,1,1,2,2,3,3,combination
2,3,3,2,4,1,1,2,2,3,1,2,combination
2,2,1,3,2,2,2,2,2,2,3,2,dry
2,5,3,2,3,3,4,1,1,1,3,2,acne_prone
2,5,4,1,3,2,2,2,1,2,2,2,oily
1,2,2,3,1,2,3,3,3,4,2,3,sensitive
3,3,1,1,3,2,2,1,1,1,2,3,normal
2,2,3,4,2,2,4,4,3,4,3,2,sensitive
2,5,4,1,5,1,1,1,1,1,2,1,oily
4,2,1,2,2,3,2,2,2,1,2,3,dry
3,4,3,1,4,4,4,1,2,1,1,4,acne_prone
3,2,2,3,1,1,1,1,2,1,5,1,dry
3,4,3,1,3,2,3,1,1,3,3,2,normal
2,4,4,1,4,3,4,2,2,2,5,2,acne_prone
1,5,4,1,3,3,2,2,2,1,4,1,acne_prone
2,4,3,1,4,3,2,2,2,2,5,3,combination
2,3,2,1,3,3,2,1,2,1,5,3,combination
3,5,5,1,5,1,1,2,3,1,1,1,oily
2,2,3,1,2,2,3,2,1,2,2,3,normal
3,4,1,1,1,1,1,2,2,2,3,4,normal
5,2,2,3,4,1,1,3,1,1,1,3,combination
1,3,4,1,4,2,2,1,1,1,4,1,combination
1,2,3,2,1,2,2,3,3,4,5,1,sensitive
2,2,1,2,1,1,1,3,3,3,4,2,sensitive
4,3,1,3,2,3,4,1,1,3,2,1,dry
4,5,4,1,4,1,1,1,2,3,2,4,oily
5,1,1,3,3,1,1,1,1,1,2,1,dry
2,5,3,2,3,2,4,3,1,1,2,4,oily
2,5,5,1,4,2,2,1,2,2,5,4,oily
5,1,2,2,1,2,2,3,3,3,3,2,sensitive
2,2,3,2,1,1,1,1,1,2,2,1,normal
2,2,1,3,3,1,1,2,2,1,3,4,dry
3,2,1,4,2,3,2,2,1,3,2,1,dry
1,2,4,1,3,2,3,2,1,3,4,3,combination
3,3,2,2,4,2,4,2,2,1,4,3,combination
2,2,1,4,2,1,1,1,2,3,2,2,dry
4,1,1,2,2,1,1,3,2,2,1,1,dry
2,4,4,1,3,2,3,1,1,1,2,2,combination
3,2,1,3,1,2,2,1,1,1,4,2,dry
5,3,2,3,1,3,3,3,4,4,2,4,sensitive
2,3,3,2,4,2,4,1,1,2,5,1,combination
5,1,2,3,1,1,1,1,1,1,3,2,dry
1,2,1,3,3,3,3,3,2,2,1,1,dry
3,5,4,1,3,4,2,2,1,1,1,4,acne_prone
1,4,3,2,1,2,3,1,3,1,3,1,normal
3,3,2,1,3,1,1,1,1,2,3,1,normal
3,2,3,4,2,2,3,3,4,3,1,1,sensitive
3,3,5,2,3,4,4,1,2,1,3,2,acne_prone
5,3,5,3,4,4,5,1,1,1,1,1,acne_prone
1,3,4,1,3,1,1,2,1,2,4,1,combination
2,3,2,2,2,1,1,1,1,2,2,3,normal
4,1,1,4,3,2,2,1,2,2,5,2,dry
3,3,4,3,3,1,1,2,2,1,3,2,combination
3,4,5,2,3,2,2,2,1,1,3,2,oily
3,4,4,2,4,1,1,1,1,2,2,1,oily
3,3,4,1,5,4,5,2,1,3,2,3,acne_prone
2,2,1,4,1,1,1,2,1,1,5,2,dry
4,4,3,1,5,2,4,3,1,2,3,1,oily
1,1,2,4,2,2,4,1,1,1,5,2,dry
1,3,3,1,5,2,3,2,1,3,5,1,oily
4,1,1,3,3,1,1,2,1,2,4,3,dry
2,2,2,3,2,3,3,2,3,1,1,1,dry
3,2,1,3,1,1,1,1,3,1,4,1,dry
2,3,3,1,2,3,3,3,2,1,3,1,combination
3,3,3,3,3,1,1,1,2,1,4,2,combination
1,4,3,1,4,3,4,1,1,1,2,3,combination
3,3,5,1,4,3,4,1,2,1,4,3,acne_prone
2,2,2,2,1,1,1,2,1,1,4,1,normal
2,4,2,1,3,3,2,1,1,2,1,3,normal
3,1,3,4,1,2,4,3,3,3,4,2,sensitive
3,3,3,1,1,3,4,1,1,3,4,4,normal
1,4,4,1,5,3,4,2,2,1,4,2,acne_prone
4,2,2,3,1,1,1,1,1,1,1,1,dry
2,5,5,2,5,4,2,2,2,1,3,3,acne_prone
1,2,1,3,2,1,1,1,2,3,1,2,dry
3,2,2,4,2,2,2,3,4,4,5,2,sensitive
2,3,3,2,4,2,2,1,3,1,4,2,oily
2,5,3,1,4,3,2,2,2,3,4,3,acne_prone
4,1,2,3,3,1,1,1,1,2,2,2,dry
2,5,5,1,4,1,1,2,1,2,3,2,oily
3,3,5,2,3,4,4,2,2,2,5,4,acne_prone
4,5,4,1,3,2,3,2,3,1,2,2,oily
3,4,3,1,3,2,4,1,1,3,1,2,combination
4,3,4,2,3,1,1,1,1,2,4,1,combination
2,3,4,2,5,2,4,2,3,2,3,2,oily
3,2,3,2,4,2,3,2,1,2,5,3,combination
3,3,2,1,3,1,1,1,2,1,5,2,combination
5,4,3,2,5,4,3,1,3,1,1,3,acne_prone
2,2,2,3,3,3,4,3,1,2,3,1,dry
5,3,2,1,2,2,4,3,2,1,4,1,normal
3,4,4,1,3,3,5,1,1,2,4,1,acne_prone
3,1,2,3,3,1,1,3,3,4,1,4,sensitive
4,3,5,1,4,1,1,1,3,1,1,3,oily
4,3,3,3,3,3,4,2,2,2,5,1,combination
1,4,1,2,2,2,3,1,1,1,2,1,normal
2,3,3,1,2,1,1,3,3,1,1,1,normal
3,4,3,1,4,2,2,1,2,2,3,2,oily
1,3,3,1,2,1,1,2,1,3,5,2,normal
2,3,3,1,2,3,2,3,2,1,5,2,combination
3,3,2,4,1,2,3,1,2,1,5,3,dry
2,4,4,3,5,3,2,1,3,2,1,2,acne_prone
5,3,4,2,4,4,5,2,1,1,1,1,acne_prone
